Date,SP500,STOXX50
2009-08-07,1010.4799800000001,2706.219971
2009-08-10,1007.099976,2693.610107
2009-08-11,994.349976,2650.939941
2009-08-12,1005.8099980000001,2688.209961
2009-08-13,1012.7299800000001,2705.73999
2009-08-14,1004.090027,2669.409912
2009-08-17,979.7299800000001,2603.790039
2009-08-18,989.669983,2630.600098
2009-08-19,996.4600220000001,2622.8798829999996
2009-08-20,1007.3699949999999,2663.669922
2009-08-21,1026.130005,2745.6201170000004
2009-08-24,1025.569946,2778.340088
2009-08-25,1028.0,2801.139893
2009-08-26,1028.119995,2788.899902
2009-08-27,1030.97998,2777.6201170000004
2009-08-28,1028.930054,2803.649902
2009-08-31,1020.6199949999999,2770.110107
2009-09-01,998.0399779999999,2715.73999
2009-09-02,994.75,2703.76001
2009-09-03,1003.23999,2699.219971
2009-09-04,1016.400024,2743.340088
2009-09-08,1025.390015,2786.25
2009-09-09,1033.369995,2820.580078
2009-09-10,1044.140015,2817.5
2009-09-11,1042.72998,2831.3701170000004
2009-09-14,1049.339966,2829.25
2009-09-15,1052.630005,2843.0
2009-09-16,1068.76001,2882.280029
2009-09-17,1065.48999,2895.449951
2009-09-18,1068.300049,2887.23999
2009-09-21,1064.660034,2872.51001
2009-09-22,1071.660034,2881.600098
2009-09-23,1060.869995,2887.23999
2009-09-24,1050.780029,2838.219971
2009-09-25,1044.380005,2831.949951
2009-09-28,1062.97998,2899.1201170000004
2009-09-29,1060.609985,2892.439941
2009-09-30,1057.079956,2872.6298829999996
2009-10-01,1029.849976,2810.459961
2009-10-02,1025.209961,2760.600098
2009-10-05,1040.459961,2790.780029
2009-10-06,1054.719971,2865.699951
2009-10-07,1057.579956,2852.169922
2009-10-08,1065.47998,2887.610107
2009-10-09,1071.48999,2882.179932
2009-10-12,1076.189941,2914.350098
2009-10-13,1073.189941,2879.060059
2009-10-14,1092.02002,2950.820068
2009-10-15,1096.560059,2939.090088
2009-10-16,1087.680054,2893.530029
2009-10-19,1097.910034,2947.409912
2009-10-20,1091.060059,2925.080078
2009-10-21,1081.400024,2936.830078
2009-10-22,1092.910034,2902.189941
2009-10-23,1079.599976,2886.080078
2009-10-26,1066.949951,2834.820068
2009-10-27,1063.410034,2835.169922
2009-10-28,1042.630005,2778.459961
2009-10-29,1066.109985,2824.780029
2009-10-30,1036.189941,2743.5
2009-11-02,1042.880005,2762.949951
2009-11-03,1045.410034,2712.300049
2009-11-04,1046.5,2763.290039
2009-11-05,1066.630005,2793.439941
2009-11-06,1069.300049,2794.25
2009-11-09,1093.079956,2860.110107
2009-11-10,1093.01001,2856.439941
2009-11-11,1098.51001,2881.01001
2009-11-12,1087.23999,2876.919922
2009-11-13,1093.47998,2883.040039
2009-11-16,1109.300049,2926.149902
2009-11-17,1110.319946,2906.919922
2009-11-18,1109.800049,2908.530029
2009-11-19,1094.900024,2860.290039
2009-11-20,1091.380005,2833.060059
2009-11-23,1106.23999,2898.189941
2009-11-24,1105.650024,2877.580078
2009-11-25,1110.630005,2896.899902
2009-11-27,1091.48999,2831.139893
2009-11-30,1095.630005,2797.25
